id,order_id,payment_method,amount
87,51,gift_card,40847
88,209,bank_transfer,2644
89,190,coupon,29557
90,228,coupon,24268
91,51,bank_transfer,36182
92,184,credit_card,26592
93,142,coupon,8505
94,233,credit_card,43935
95,109,credit_card,3814
96,171,coupon,8752
97,290,coupon,4996
98,284,coupon,38929
99,111,coupon,22032
100,76,credit_card,18671
101,75,coupon,35903
102,129,coupon,7704
103,14,coupon,1473
104,184,coupon,39091
105,166,credit_card,11919
106,136,credit_card,8807
107,216,credit_card,49367
108,33,gift_card,29878
109,186,credit_card,30122
110,258,coupon,40811
111,23,bank_transfer,30518
112,16,credit_card,31890
113,206,gift_card,45464
114,56,gift_card,47187
115,228,credit_card,5794
116,165,coupon,4804
117,65,bank_transfer,41415
118,300,bank_transfer,25462
119,272,bank_transfer,30234
120,259,gift_card,6999
121,59,coupon,28685
122,232,coupon,27619
123,174,gift_card,26631
124,213,credit_card,20983
125,219,bank_transfer,44088
126,131,bank_transfer,10503
127,243,credit_card,6478
128,44,credit_card,28803
129,50,bank_transfer,9027
130,285,credit_card,38934
131,288,bank_transfer,44409
132,63,gift_card,23673
133,217,credit_card,19350
134,160,bank_transfer,7289
135,296,coupon,10640
136,247,coupon,7592
137,180,bank_transfer,8029
138,143,coupon,28622
139,288,credit_card,40411
140,137,credit_card,12323
141,140,bank_transfer,22770
142,180,credit_card,12388
143,74,gift_card,5060
144,73,credit_card,6513
145,272,coupon,25154
146,215,gift_card,22840
147,81,bank_transfer,20923
148,167,credit_card,3947
149,80,coupon,49942
150,26,credit_card,18332
151,227,gift_card,32328
152,227,gift_card,18402
153,111,credit_card,23121
154,221,credit_card,19062
155,250,bank_transfer,3476
156,113,gift_card,39777
157,29,credit_card,13897
158,155,coupon,9493
159,131,bank_transfer,22003
160,62,credit_card,33096
161,221,coupon,8966
162,195,coupon,33285
163,287,bank_transfer,5223
164,204,credit_card,29088
165,10,gift_card,5602
166,161,gift_card,38078
167,208,gift_card,19473
168,59,gift_card,1866
169,167,coupon,41009
170,236,bank_transfer,6275
171,224,credit_card,16445
172,224,gift_card,34838
173,41,gift_card,20834
174,174,coupon,22327
175,87,credit_card,33955
176,59,coupon,23396
177,180,coupon,15984
178,53,coupon,17275
179,102,coupon,39978
180,79,credit_card,12109
181,253,gift_card,49943
182,289,gift_card,45138
183,290,bank_transfer,41605
184,162,coupon,29320
185,35,gift_card,29480
186,156,bank_transfer,39259
187,29,bank_transfer,33748
188,38,bank_transfer,30760
189,232,credit_card,4228
190,189,bank_transfer,5528
191,47,gift_card,30824
192,298,credit_card,29973
193,293,coupon,21571
194,244,coupon,4554
195,231,credit_card,23007
196,44,coupon,3065
197,127,gift_card,29297
198,269,coupon,24348
199,191,bank_transfer,25889
200,210,bank_transfer,44992
201,27,bank_transfer,4819
202,169,credit_card,37066
203,198,bank_transfer,17014
204,77,bank_transfer,5841
205,299,coupon,23425
206,159,gift_card,8950
207,44,bank_transfer,37129
208,193,bank_transfer,8875
209,270,credit_card,42837
210,217,bank_transfer,1694
211,186,bank_transfer,12313
212,110,bank_transfer,32368
213,99,coupon,9515
214,80,credit_card,19885
215,52,credit_card,43880
216,173,coupon,39641
217,193,coupon,11133
218,93,coupon,47763
219,225,credit_card,27426
220,187,coupon,29611
221,146,gift_card,15835
222,274,coupon,20781
223,241,coupon,24606
224,293,gift_card,30756
225,145,gift_card,33458
226,271,gift_card,11120
227,103,coupon,16884
228,27,gift_card,24827
229,284,credit_card,47122
230,265,credit_card,19181
231,43,coupon,18377
232,231,coupon,29170
233,47,coupon,30065
234,179,credit_card,27690
235,28,gift_card,33399
236,192,coupon,25807
237,42,bank_transfer,15215
238,15,bank_transfer,6993
239,172,coupon,9517
240,20,bank_transfer,31462
241,72,gift_card,29899
242,3,credit_card,1745
243,132,coupon,10298
244,281,gift_card,7786
245,148,coupon,20236
246,63,credit_card,16126
247,215,gift_card,4616
248,57,gift_card,39607
249,275,credit_card,41915
250,264,coupon,47590
251,74,bank_transfer,28630
252,1,bank_transfer,16265
253,293,gift_card,12775
254,44,bank_transfer,4935
255,270,credit_card,26088
256,241,credit_card,42159
257,199,bank_transfer,17123
258,9,bank_transfer,4927
259,177,coupon,48534
260,54,bank_transfer,9243
261,23,bank_transfer,36283
262,174,coupon,45371
263,238,gift_card,41901
264,94,coupon,4635
265,235,credit_card,19731
266,104,credit_card,13572
267,22,bank_transfer,20821
268,264,gift_card,36088
269,243,bank_transfer,2899
270,98,bank_transfer,23894
271,25,bank_transfer,18405
272,64,bank_transfer,29136
273,205,gift_card,25839
274,174,coupon,33019
275,255,bank_transfer,34531
276,137,credit_card,48150
277,218,credit_card,28720
278,93,bank_transfer,21550
279,53,credit_card,21990
280,152,bank_transfer,29723
281,219,coupon,45704
282,228,bank_transfer,29803
283,22,bank_transfer,40794
284,223,bank_transfer,42408
285,30,credit_card,44486
286,208,bank_transfer,34125
287,82,credit_card,9857
288,225,credit_card,8772
289,35,coupon,42781
290,188,bank_transfer,25590
291,291,credit_card,40155
292,79,gift_card,24811
293,191,gift_card,5538
294,294,coupon,35198
295,188,gift_card,21103
296,143,coupon,7934
297,14,coupon,33205
298,266,gift_card,37309
299,61,bank_transfer,17558
300,229,coupon,40599
301,147,gift_card,13618
302,63,coupon,5353
303,232,coupon,47251
304,228,credit_card,45190
305,164,bank_transfer,47000
306,34,bank_transfer,20157
307,81,coupon,24190
308,261,coupon,8453
309,103,coupon,16014
310,253,credit_card,24151
311,284,bank_transfer,31131
312,283,coupon,40604
313,45,credit_card,20769
314,204,gift_card,34951
315,211,gift_card,38176
316,38,coupon,21276
317,38,gift_card,31028
318,265,bank_transfer,8910
319,283,coupon,8956
320,222,credit_card,8637
321,266,coupon,20431
322,85,coupon,21645
323,116,bank_transfer,34506
324,146,credit_card,16923
325,101,bank_transfer,8703
326,156,credit_card,33436
327,87,coupon,11719
328,173,credit_card,2359
329,42,credit_card,42538
330,296,bank_transfer,43172
331,108,gift_card,41008
332,16,gift_card,41601
333,280,bank_transfer,42568
334,155,gift_card,16548
335,208,bank_transfer,30223
336,38,credit_card,10859
337,226,gift_card,32235
338,238,coupon,22794
339,74,bank_transfer,47578
340,164,bank_transfer,26630
341,67,bank_transfer,34249
342,288,credit_card,21413
343,124,gift_card,8529
344,137,gift_card,16747
345,73,credit_card,3816
346,149,gift_card,40829
347,215,coupon,10966
348,168,bank_transfer,12940
349,82,gift_card,34233
350,240,gift_card,20720
351,255,credit_card,6401
352,202,gift_card,16276
353,111,bank_transfer,3688
354,26,bank_transfer,32933
355,241,bank_transfer,35672
356,5,credit_card,28741
357,69,bank_transfer,48177
358,188,gift_card,24482
359,24,gift_card,3852
360,292,coupon,24258
361,284,bank_transfer,5318
362,198,gift_card,36535
363,144,credit_card,8932
364,50,gift_card,24957
365,174,bank_transfer,49977
366,74,coupon,39983
367,261,gift_card,33273
368,21,credit_card,3050
369,71,bank_transfer,31547
370,266,gift_card,10260
371,264,coupon,21993
372,164,coupon,26252
373,154,bank_transfer,33747
374,261,gift_card,46947
375,289,bank_transfer,31622
376,9,bank_transfer,22208
377,57,gift_card,38753
378,158,credit_card,39619
379,243,bank_transfer,43464
380,297,coupon,47777
381,27,gift_card,11674
382,269,gift_card,10184
383,125,credit_card,38023
384,57,coupon,1741
385,226,bank_transfer,27945
386,78,gift_card,45752
387,105,gift_card,33387
388,242,credit_card,46753
389,71,coupon,37258
390,167,gift_card,34937
391,193,bank_transfer,11849
392,236,bank_transfer,36300
393,182,bank_transfer,40481
394,248,coupon,16655
395,143,bank_transfer,15236
396,153,bank_transfer,46696
397,107,gift_card,21277
398,246,bank_transfer,37232
399,141,bank_transfer,8487
400,294,gift_card,26356
