id,user_id,order_date,status
153,81,2024-05-02,completed
154,57,2024-02-09,completed
155,31,2024-05-19,completed
156,41,2024-10-03,placed
157,18,2024-03-18,shipped
158,50,2024-12-21,shipped
159,91,2024-04-19,placed
160,54,2024-07-27,completed
161,70,2024-08-26,returned
162,8,2024-04-15,returned
163,50,2024-10-26,placed
164,98,2024-10-21,returned
165,62,2024-01-04,completed
166,39,2024-07-18,returned
167,69,2024-10-06,return_pending
168,29,2024-09-06,shipped
169,35,2024-08-11,returned
170,4,2024-07-18,completed
171,86,2024-12-13,returned
172,93,2024-03-25,returned
173,17,2024-11-14,return_pending
174,4,2024-07-20,return_pending
175,73,2024-12-05,placed
176,11,2024-11-25,returned
177,18,2024-08-24,shipped
178,7,2024-05-13,returned
179,42,2024-04-18,returned
180,42,2024-06-21,returned
181,36,2024-08-03,completed
182,11,2024-08-28,placed
183,96,2024-10-03,placed
184,45,2024-04-24,placed
185,100,2024-11-29,placed
186,97,2024-01-16,shipped
187,26,2024-01-11,return_pending
188,20,2024-05-02,shipped
189,61,2024-12-08,placed
190,73,2024-04-21,returned
191,90,2024-05-11,completed
192,22,2024-11-06,return_pending
193,96,2024-02-28,shipped
194,40,2024-02-25,return_pending
195,4,2024-06-08,return_pending
196,87,2024-07-11,returned
197,92,2024-04-11,placed
198,76,2024-12-19,shipped
199,14,2024-12-22,completed
200,88,2024-11-03,placed
201,73,2024-01-22,completed
202,69,2024-08-07,completed
203,9,2024-09-16,completed
204,2,2024-08-03,returned
205,14,2024-08-09,completed
206,82,2024-08-23,shipped
207,56,2024-03-31,return_pending
208,84,2024-05-18,return_pending
209,69,2024-09-04,returned
210,56,2024-10-30,completed
211,42,2024-05-05,placed
212,36,2024-08-18,shipped
213,97,2024-08-25,return_pending
214,79,2024-12-08,returned
215,44,2024-01-15,returned
216,42,2024-04-03,returned
217,28,2024-06-30,completed
218,44,2024-05-23,return_pending
219,90,2024-05-21,return_pending
220,2,2024-09-21,shipped
221,11,2024-05-03,returned
222,63,2024-10-11,shipped
223,89,2024-08-31,returned
224,58,2024-01-09,placed
225,38,2024-04-23,returned
226,89,2024-05-04,completed
227,85,2024-10-24,completed
228,61,2024-10-10,return_pending
229,45,2024-08-05,return_pending
230,43,2024-06-29,returned
231,35,2024-06-05,completed
232,30,2024-03-02,shipped
233,41,2024-03-02,return_pending
234,98,2024-12-19,shipped
235,25,2024-04-20,returned
236,36,2024-10-28,return_pending
237,77,2024-05-24,placed
238,25,2024-05-31,shipped
239,47,2024-04-01,completed
240,2,2024-12-28,return_pending
241,17,2024-05-20,placed
242,7,2024-10-10,completed
243,90,2024-03-05,returned
244,14,2024-01-07,return_pending
245,37,2024-08-28,returned
246,57,2024-06-23,shipped
247,7,2024-05-09,returned
248,15,2024-02-03,returned
249,63,2024-02-07,return_pending
250,81,2024-12-17,placed
251,20,2024-03-17,return_pending
252,39,2024-02-13,shipped
253,16,2024-10-12,returned
254,78,2024-11-01,return_pending
255,29,2024-09-24,returned
256,58,2024-08-14,completed
257,76,2024-08-07,completed
258,73,2024-11-13,placed
259,79,2024-02-20,shipped
260,81,2024-04-18,completed
261,85,2024-02-11,shipped
262,31,2024-03-29,return_pending
263,10,2024-03-21,placed
264,53,2024-08-18,return_pending
265,61,2024-05-29,placed
266,30,2024-05-27,completed
267,90,2024-08-20,placed
268,88,2024-04-29,completed
269,81,2024-10-28,shipped
270,55,2024-02-28,return_pending
271,29,2024-11-27,shipped
272,35,2024-03-13,placed
273,8,2024-03-25,completed
274,77,2024-10-18,completed
275,57,2024-03-04,returned
276,89,2024-06-04,returned
277,35,2024-09-13,return_pending
278,64,2024-08-12,placed
279,77,2024-01-21,returned
280,95,2024-06-14,return_pending
281,33,2024-01-14,placed
282,30,2024-12-11,return_pending
283,76,2024-01-11,completed
284,74,2024-01-21,shipped
285,61,2024-09-22,returned
286,36,2024-04-02,return_pending
287,56,2024-11-21,returned
288,12,2024-08-28,completed
289,53,2024-06-19,completed
290,86,2024-02-23,shipped
291,43,2024-07-29,returned
292,37,2024-12-05,returned
293,98,2024-10-08,placed
294,59,2024-02-15,completed
295,33,2024-06-14,placed
296,99,2024-07-25,return_pending
297,1,2024-12-02,return_pending
298,60,2024-07-30,placed
299,25,2024-09-22,completed
300,80,2024-09-12,returned
